Date (m/d/y),Julian Date,Year,Start Time,End Time,,Last Covered On,Exposure Time,Exposure Time (Hr),Exposure Time (min),Low Tide Height,Low Tide Time,Ditance From Shore, DC of (15 ) quadrats,Relative DC,End Time,Dropping Density ,Relative Dropping density (droppings/m2),Droppings/min/m2,Relative Droppings Density Per Unit Time (droppings/m2/min),Proportion Wesa to LESA,Age,Cumulative,
2008-07-09,191,2008,14:52:00,14:54:00,0,02:00:00,12:52:00,12.8666666666667,772,,,550,0,,,0,,0,,,Adult,0,
2008-07-09,191,2008,14:48:00,14:50:00,0,02:00:00,12:48:00,12.8,768,,,500,0,,,0,,0,,,Adult,0,
2008-07-09,191,2008,14:45:00,14:47:00,0,01:00:00,13:45:00,13.75,825,,,450,0,,,0,,0,,,Adult,0,
2008-07-09,191,2008,14:41:00,14:43:00,0,01:00:00,13:41:00,13.6833333333333,821,,,400,0,,,0,,0,,,Adult,0,
2008-07-09,191,2008,14:36:00,14:40:00,0,01:00:00,13:36:00,13.6,816,,,350,2,,,0.133333333333333,,0.000163398692810458,,,Adult,0.00401898590052781,
2008-07-09,191,2008,14:32:00,14:35:00,0,01:00:00,13:32:00,13.5333333333333,812,,,300,3,,,0.2,,0.000246305418719212,,,Adult,0.0060581757909434,
2008-07-09,191,2008,14:26:00,14:30:00,0,01:00:00,13:26:00,13.4333333333333,806,,,250,4,,,0.266666666666667,,0.00033085194375517,,,Adult,0.00813769849833919,
2008-07-09,191,2008,14:23:00,14:25:00,0,01:00:00,13:23:00,13.3833333333333,803,,,200,10,,,0.666666666666667,,0.0008302200083022,,,Adult,0.0204202521471401,
2008-07-09,191,2008,14:19:00,14:21:00,0,01:00:00,13:19:00,13.3166666666667,799,,,150,5,,,0.333333333333333,,0.000417188151856487,,,Adult,0.0102612405970923,
2008-07-09,191,2008,14:10:00,14:16:00,0,00:00:00,14:10:00,14.1666666666667,850,,,100,12,,,0.8,,0.000941176470588235,,,Adult,0.0231493587870402,
2008-07-09,191,2008,14:01:00,14:05:00,0,00:00:00,14:01:00,14.0166666666667,841,,,50,12,,,0.8,,0.000951248513674197,,,Adult,0.0233970927098504,
2008-07-09,191,2008,13:54:00,13:59:00,0,00:00:00,13:54:00,13.9,834,,,0,2,,,0.133333333333333,,0.000159872102318145,,,Adult,0.00393224519763872,
2008-07-10,192,2008,10:48:00,,0,04:00:00,06:48:00,6.8,408,,,1400,0,,,0,,0,,,Adult,0,
2008-07-10,192,2008,10:49:00,,0,04:00:00,06:49:00,6.81666666666667,409,,,1300,0,,,0,,0,,,Adult,0,
2008-07-10,192,2008,10:51:00,,0,04:00:00,06:51:00,6.85,411,,,1200,0,,,0,,0,,,Adult,0,
2008-07-10,192,2008,10:52:00,,0,04:00:00,06:52:00,6.86666666666667,412,,,1100,0,,,0,,0,,,Adult,0,
