"Date (m/d/y)","Julian Date","Start Time","Temp (oC)","Weather","Dx","Last Covered On","Exposure Time","Exposure Time (Hr)","Exposure Time (min)","Low Tide Height","Low Tide Time","Ditance From Shore"," DC of (15 ) quadrats","Relative DC","End Time","Dropping Density ","Relative Dropping density (droppings/m2)","Droppings/min/m2","Relative Droppings Density Per Unit Time (droppings/m2/min)","Proportion Wesa to LESA"
"2007-07-03",184,"10:28:00",17,,,"09:00:00","01:28:00",1.46666666666667,88,,,900,0,0,1034,0,0,0,0,
"2007-07-03",184,"10:36:00",18,,,"09:00:00","01:36:00",1.6,96,,,800,5,0.454545454545455,1042,0.333333333333333,0.03030303030303,0.003472222222222,0.709969788519637,
"2007-07-03",184,"10:46:00",18,,,"09:00:00","01:46:00",1.76666666666667,106,,,700,0,0,1051,0,0,0,0,
"2007-07-03",184,"10:55:00",18,,,"09:00:00","01:55:00",1.91666666666667,115,,,600,0,0,1100,0,0,0,0,
"2007-07-03",184,"11:02:00",18,,,"08:00:00","03:02:00",3.03333333333333,182,,,550,0,0,1106,0,0,0,0,
"2007-07-03",184,"11:08:00",18,,,"08:00:00","03:08:00",3.13333333333333,188,,,500,0,0,1113,0,0,0,0,
"2007-07-03",184,"11:15:00",18,,,"08:00:00","03:15:00",3.25,195,,,450,0,0,1120,0,0,0,0,
"2007-07-03",184,"11:25:00",18,,,"08:00:00","03:25:00",3.41666666666667,205,,,400,0,0,1130,0,0,0,0,
"2007-07-03",184,"11:34:00",20,,,"08:00:00","03:34:00",3.56666666666667,214,,,350,0,0,1137,0,0,0,0,
"2007-07-03",184,"11:40:00",20,,,"07:00:00","04:40:00",4.66666666666667,280,,,300,0,0,,0,0,0,0,
"2007-07-03",184,"11:42:00",20,,,"07:00:00","04:42:00",4.7,282,,,250,6,0.545454545454545,1147,0.4,0.036363636363636,0.001418439716312,0.290030211480363,
"2007-07-04",185,"12:56:00",21,,,"11:00:00","01:56:00",1.93333333333333,116,,,1500,0,0,,0,0,0,0,
"2007-07-04",185,"12:58:00",21,,,"11:00:00","01:58:00",1.96666666666667,118,,,1400,0,0,,0,0,0,0,
"2007-07-04",185,"13:00:00",21,,,"11:00:00","02:00:00",2,120,,,1300,0,0,,0,0,0,0,
"2007-07-04",185,"13:02:00",21,,,"11:00:00","02:02:00",2.03333333333333,122,,,1200,0,0,,0,0,0,0,
"2007-07-04",185,"13:05:00",21,,,"11:00:00","02:05:00",2.08333333333333,125,,,1100,0,0,,0,0,0,0,
"2007-07-04",185,"13:07:00",21,,,"10:00:00","03:07:00",3.11666666666667,187,,,1000,0,0,,0,0,0,0,
"2007-07-04",185,"13:09:00",21,,,"10:00:00","03:09:00",3.15,189,,,900,0,0,,0,0,0,0,
"2007-07-04",185,"13:11:00",21,,,"10:00:00","03:11:00",3.18333333333333,191,,,800,0,0,,0,0,0,0,
"2007-07-04",185,"13:13:00",21,,,"09:00:00","04:13:00",4.21666666666667,253,,,700,0,0,,0,0,0,0,
"2007-07-04",185,"13:15:00",21,,,"09:00:00","04:15:00",4.25,255,,,600,0,0,,0,0,0,0,
"2007-07-04",185,"13:16:00",21,,,"09:00:00","04:16:00",4.26666666666667,256,,,550,0,0,,0,0,0,0,
"2007-07-04",185,"13:18:00",21,,,"09:00:00","04:18:00",4.3,258,,,500,0,0,,0,0,0,0,
"2007-07-04",185,"13:19:00",21,,,"09:00:00","04:19:00",4.31666666666667,259,,,450,0,0,,0,0,0,0,
"2007-07-04",185,"13:21:00",21,,,"08:00:00","05:21:00",5.35,321,,,400,0,0,1325,0,0,0,0,
"2007-07-04",185,"13:27:00",21,,,"08:00:00","05:27:00",5.45,327,,,350,0,0,1330,0,0,0,0,
"2007-07-04",185,"13:32:00",22,,,"08:00:00","05:32:00",5.53333333333333,332,,,300,1,0.1,1335,0.066666666666667,0.006666666666667,0.000200803212851,0.21544619171653,
